gender,race,college_tier,education_level,years_experience,skills_score,interview_score,test_score,hired
Other,Asian,Tier 1,Masters,0,45.42,90.99,74.05,1
Male,Asian,Tier 2,Bachelors,14,41.23,71.73,75.69,1
Other,Other,Tier 1,Masters,7,93.47,58.21,60.67,1
Other,Hispanic,Tier 3,Bachelors,11,25.09,79.78,16.68,0
Male,Black,Tier 3,Masters,17,12.04,86.44,79.74,1
Male,Hispanic,Tier 2,Masters,14,58.45,45.69,72.01,1
Other,Hispanic,Tier 1,PhD,16,96.93,47.51,8.61,1
Female,Asian,Tier 1,Bachelors,13,37.78,38.61,46.38,0
Other,Hispanic,Tier 1,Masters,13,6.2,96.67,17.4,0
Other,White,Tier 2,Masters,17,33.93,69.72,33.75,0
Other,Asian,Tier 2,Bachelors,19,50.59,8.32,1.81,0
Other,White,Tier 3,Bachelors,17,16.19,86.3,40.03,0
Male,Black,Tier 2,Bachelors,15,65.81,48.06,54.99,1
Other,Asian,Tier 3,Masters,0,99.77,6.88,61.96,0
Female,Black,Tier 3,Masters,10,45.17,54.97,66.35,0
Male,Asian,Tier 1,Bachelors,14,35.47,41.72,83.63,0
Female,Other,Tier 3,Masters,11,40.07,87.77,21.55,0
Female,Hispanic,Tier 1,Bachelors,7,11.51,20.4,12.05,0
Female,Other,Tier 1,Bachelors,19,88.33,82.65,85.15,1
Female,Black,Tier 2,PhD,5,41.48,55.77,15.66,0
Male,Hispanic,Tier 1,PhD,2,38.73,5.46,97.48,0
Male,Asian,Tier 2,Masters,12,65.97,97.18,84.25,1
Female,Hispanic,Tier 2,Bachelors,12,44.2,51.26,50.09,0
Female,White,Tier 2,Masters,1,64.82,29.09,98.14,1
Male,Hispanic,Tier 1,Bachelors,4,6.14,46.94,9.74,0
Male,White,Tier 2,Bachelors,16,81.37,85.79,30.31,1
Male,Hispanic,Tier 2,Bachelors,5,94.05,30.49,63.82,1
Other,White,Tier 2,Masters,1,64.88,19.27,35.0,0
Other,Black,Tier 2,Masters,3,95.46,12.91,92.84,1
Other,Other,Tier 1,Bachelors,10,15.14,29.79,6.56,0
Female,Asian,Tier 2,Masters,7,47.74,78.0,54.94,1
Other,Hispanic,Tier 1,PhD,11,60.18,47.16,59.09,1
Female,Other,Tier 2,Bachelors,7,58.17,22.75,65.27,0
Female,Asian,Tier 2,Masters,10,40.15,16.62,25.57,0
Other,Asian,Tier 2,Masters,19,33.81,33.27,36.46,0
Female,White,Tier 2,Bachelors,7,12.68,93.99,84.37,1
Other,Black,Tier 3,Bachelors,7,39.17,34.3,19.49,0
Other,Black,Tier 3,Masters,16,16.27,98.81,82.69,1
Male,Other,Tier 3,Masters,19,73.44,48.52,56.27,1
Other,Black,Tier 3,Masters,19,20.88,17.92,76.22,0
Male,Hispanic,Tier 1,Bachelors,15,5.86,89.11,71.36,1
Other,Black,Tier 1,PhD,13,55.24,46.04,20.75,0
Other,Other,Tier 2,Bachelors,10,59.52,70.97,56.88,1
Male,Black,Tier 1,Bachelors,6,87.19,98.37,86.77,1
Male,Hispanic,Tier 2,Masters,15,57.7,5.02,43.21,0
Other,White,Tier 1,Bachelors,12,34.55,9.67,96.66,0
Female,Other,Tier 2,Bachelors,14,80.3,72.05,45.22,1
Male,White,Tier 2,Bachelors,15,54.03,28.18,14.28,0
Female,White,Tier 2,Bachelors,20,7.93,18.43,38.94,0
Female,White,Tier 2,Bachelors,8,56.59,3.94,95.17,0
Female,Asian,Tier 3,PhD,2,90.8,2.18,31.97,0
Male,Asian,Tier 2,Bachelors,18,39.63,77.45,86.81,1
Female,White,Tier 3,Masters,19,29.63,13.44,88.13,0
Male,Other,Tier 1,Masters,4,14.35,46.77,35.02,0
Female,Hispanic,Tier 3,PhD,9,15.14,60.59,8.33,0
Other,Hispanic,Tier 2,Bachelors,16,43.28,42.84,72.46,0
Other,Black,Tier 1,Masters,14,59.57,2.71,31.15,0
Male,Other,Tier 1,Masters,7,8.06,78.35,78.29,1
Other,Asian,Tier 2,Masters,14,93.96,1.05,44.27,0
Other,White,Tier 1,Masters,20,75.51,76.19,48.53,1
Female,Black,Tier 1,Masters,13,58.66,89.33,77.79,1
Male,Hispanic,Tier 2,Bachelors,19,82.84,43.28,38.24,1
Female,Asian,Tier 2,Masters,6,8.02,53.55,44.31,0
Female,Asian,Tier 2,Masters,20,47.68,47.7,37.62,0
Female,White,Tier 3,Masters,11,63.01,38.92,36.73,0
Female,Hispanic,Tier 2,PhD,16,82.87,88.74,52.59,1
Female,Other,Tier 2,Bachelors,16,78.35,89.39,80.88,1
Female,Asian,Tier 1,PhD,9,27.71,33.58,36.18,0
Female,White,Tier 2,Bachelors,18,94.09,61.51,52.43,1
Male,Other,Tier 1,Bachelors,13,12.43,92.69,67.07,1
Other,Hispanic,Tier 3,Bachelors,10,87.51,96.21,26.94,1
Female,Asian,Tier 3,Bachelors,1,97.09,50.9,27.75,1
Female,Other,Tier 2,Masters,17,17.72,45.28,93.34,0
Female,Other,Tier 1,Bachelors,6,72.21,27.87,72.35,1
Female,Other,Tier 3,Bachelors,11,4.03,95.89,57.72,0
Female,Asian,Tier 2,PhD,1,40.54,14.28,64.77,0
Female,Asian,Tier 1,Masters,19,51.63,57.98,2.93,0
Other,Black,Tier 1,Masters,17,58.06,28.26,61.81,0
Other,Hispanic,Tier 2,Masters,5,93.59,27.9,50.95,1
Female,White,Tier 1,Masters,9,67.23,40.5,54.57,1
Other,Other,Tier 3,Bachelors,19,48.13,99.88,35.94,1
Male,Black,Tier 2,Bachelors,14,80.97,5.5,8.15,0
Female,White,Tier 1,Masters,4,95.05,57.85,19.33,1
Male,Black,Tier 3,Bachelors,19,2.21,8.26,95.07,0
Male,Asian,Tier 1,Masters,2,98.25,15.45,40.87,1
Female,Other,Tier 2,Bachelors,4,8.61,43.96,46.67,0
Other,White,Tier 1,Bachelors,7,81.44,51.05,5.27,0
Male,White,Tier 1,Masters,7,28.03,25.88,3.76,0
