gender,race,college_tier,education_level,years_experience,skills_score,interview_score,test_score,hired
,,Tier 2,Masters,2.3,22.02,68.68,,0
Female,White,Tier 1,Bachelors,1.2,,,12.64,0
Female,White,Tier 3,Bachelors,3.2,12.36,84.83,71.76,0
Male,White,Tier 2,Masters,0.4,63.61,79.95,67.88,1
Male,White,,Bachelors,1.4,27.54,,44.98,0
Female,Other,Tier 2,PhD,0.4,38.2,83.56,64.0,1
Male,White,Tier 3,,2.4,51.27,83.15,47.64,1
Female,White,Tier 3,Masters,1.3,70.02,60.29,,0
Other,White,Tier 2,Bachelors,,8.82,65.17,15.77,0
Male,Asian,Tier 1,Bachelors,0.9,22.99,72.82,56.65,0
Female,Asian,Tier 3,Bachelors,,16.81,57.93,57.49,0
Male,White,Tier 2,Bachelors,0.1,11.19,60.33,35.88,0
Male,Asian,Tier 3,Bachelors,1.2,10.96,70.88,46.16,0
Female,White,Tier 1,Bachelors,7.1,23.22,64.93,31.63,0
Male,Hispanic,,Masters,1.5,27.44,45.79,38.23,0
Male,,Tier 2,,,30.54,,32.21,0
Male,White,,Bachelors,0.7,32.04,77.41,6.43,0
Female,White,Tier 3,Bachelors,3.2,27.53,67.15,15.39,0
Female,Asian,Tier 2,Masters,2.5,24.85,90.43,33.15,0
Female,White,Tier 2,Bachelors,5.3,35.14,87.41,21.37,0
Other,Black,Tier 1,Bachelors,4.1,10.29,95.76,74.97,1
Female,Hispanic,Tier 2,Bachelors,0.4,31.2,,58.98,0
Male,White,Tier 2,Masters,0.1,16.87,84.07,27.1,0
Female,,Tier 1,Bachelors,3.5,18.26,99.79,28.36,0
,Black,Tier 1,Masters,11.8,37.87,51.99,10.41,0
Female,Hispanic,Tier 1,Bachelors,1.8,4.9,76.39,56.8,0
Male,,Tier 2,PhD,4.7,12.8,,64.19,0
Female,White,Tier 2,Masters,10.3,25.39,53.67,74.89,0
Male,White,Tier 1,Bachelors,14.2,,79.24,37.87,0
Male,White,Tier 1,Bachelors,0.2,,82.7,82.37,1
Male,,Tier 1,Bachelors,1.2,48.56,65.66,86.05,1
Female,White,Tier 2,Masters,0.9,9.8,68.59,15.04,0
Male,,Tier 3,Masters,27.8,32.14,58.76,79.81,0
Male,Hispanic,Tier 2,Masters,,42.77,62.04,56.05,0
Male,White,Tier 1,Masters,1.9,23.29,61.44,35.12,0
Female,Hispanic,Tier 1,Bachelors,3.2,,81.32,30.68,0
Female,White,Tier 1,Bachelors,,17.7,89.61,21.87,0
Female,White,,PhD,0.5,12.13,,87.54,0
Female,,Tier 2,,7.3,40.91,,,0
,Hispanic,,,1.5,33.87,56.14,15.67,0
Male,Hispanic,Tier 1,Masters,3.3,11.07,65.29,58.72,0
Male,White,Tier 2,Masters,4.5,13.81,78.59,48.52,0
Female,Asian,Tier 3,Bachelors,8.1,,54.25,32.66,0
Male,,Tier 1,Bachelors,5.5,42.07,56.29,96.73,1
Female,Black,Tier 2,PhD,3.6,28.66,69.83,35.46,0
Female,White,,Bachelors,0.8,16.7,80.16,24.15,0
Male,White,Tier 2,Bachelors,,7.87,86.32,91.65,1
,Asian,Tier 3,Bachelors,0.6,,84.63,15.02,0
Male,White,Tier 1,Bachelors,,11.31,48.12,4.91,0
Male,White,Tier 1,Bachelors,3.7,26.38,,90.4,1
Male,White,Tier 3,Masters,3.7,19.16,,,0
Male,White,Tier 2,Masters,3.8,19.45,87.79,53.98,0
Other,Hispanic,Tier 3,Bachelors,3.2,9.78,91.51,4.63,0
Male,White,Tier 3,Masters,0.8,64.26,66.8,18.73,0
Male,Hispanic,Tier 1,Masters,6.5,13.21,93.43,31.83,0
Male,Asian,Tier 3,Bachelors,6.5,23.45,73.39,45.71,0
Female,White,,Bachelors,3.7,,63.46,82.62,0
Male,White,Tier 2,Bachelors,2.0,46.32,81.9,34.01,1
Male,White,Tier 2,PhD,4.3,34.42,71.58,68.71,1
Male,,Tier 2,Bachelors,2.4,27.51,89.62,99.28,1
Male,Black,Tier 1,Bachelors,6.0,63.78,70.88,75.21,1
Male,Other,Tier 1,Bachelors,4.1,39.84,82.28,,1
Female,Hispanic,Tier 2,Bachelors,3.0,60.4,66.01,35.81,0
Male,Black,Tier 1,Bachelors,1.3,10.75,67.8,94.91,1
Male,White,Tier 1,Masters,8.6,,86.48,33.53,0
Male,Black,Tier 1,PhD,18.8,41.7,70.5,19.83,0
Female,White,Tier 2,Bachelors,0.9,34.87,74.73,68.5,1
Male,Black,Tier 3,Bachelors,1.4,24.45,80.59,12.92,0
Female,White,Tier 1,Bachelors,12.2,8.65,34.84,,0
Male,Other,Tier 2,Masters,0.7,8.86,87.52,38.94,0
Other,White,Tier 3,Bachelors,5.4,33.69,78.68,9.92,0
Male,White,Tier 2,PhD,10.3,40.22,96.82,66.56,1
Other,White,Tier 1,Masters,7.9,21.88,92.35,78.61,1
Female,Black,,,2.5,82.87,67.95,90.24,1
Female,White,Tier 2,,3.0,73.21,76.37,43.17,1
Male,White,Tier 1,Masters,4.6,23.17,59.12,29.91,0
,Asian,Tier 2,Bachelors,13.5,24.02,76.19,32.6,0
Male,Hispanic,Tier 2,Bachelors,3.2,13.34,49.47,83.98,0
Male,White,Tier 2,Bachelors,2.4,26.16,35.3,75.13,0
Male,White,Tier 1,Bachelors,6.0,36.31,77.27,29.6,0
Male,White,Tier 2,Masters,2.5,39.34,27.07,75.55,0
,,Tier 1,Bachelors,,8.42,42.24,85.32,0
Male,,Tier 2,Bachelors,9.2,38.55,90.97,74.67,1
,White,Tier 3,PhD,9.3,6.46,72.73,4.73,0
Male,Hispanic,,,4.4,12.28,89.07,6.57,0
Male,White,Tier 3,Masters,0.6,21.26,69.03,46.93,0
Male,,Tier 2,Masters,6.1,51.2,61.98,,1
Male,White,Tier 2,Bachelors,2.3,33.26,75.14,72.61,1
Male,Black,Tier 3,Bachelors,9.3,14.75,,23.64,0
Female,Black,Tier 3,Bachelors,0.3,29.34,92.16,85.48,1
Male,White,Tier 3,Bachelors,5.3,26.82,85.82,72.73,1
Female,Asian,Tier 3,Bachelors,2.6,51.19,81.41,20.55,0
Male,,Tier 2,Bachelors,4.1,52.88,82.96,78.34,1
Female,White,Tier 3,Bachelors,9.0,13.9,91.22,72.28,0
Male,Other,Tier 1,Bachelors,2.1,48.31,49.7,76.92,1
Male,White,Tier 3,Bachelors,0.3,24.41,73.3,37.04,0
Male,Black,Tier 2,Bachelors,0.4,50.12,72.76,82.88,1
Male,,Tier 1,Bachelors,2.1,,,29.06,0
Female,White,Tier 2,PhD,,30.35,53.51,7.48,0
Male,Hispanic,Tier 1,Bachelors,0.9,24.08,63.35,69.19,0
Female,Black,Tier 3,Masters,1.6,14.91,85.16,81.19,0
Male,Black,Tier 1,Bachelors,23.1,,,,1
Female,Black,Tier 1,Masters,9.0,16.61,88.75,53.15,0
Other,White,Tier 2,,4.5,9.25,79.56,77.87,0
,Black,Tier 1,,6.1,42.03,48.61,22.05,0
Male,White,Tier 3,PhD,0.6,34.23,71.73,83.92,1
Male,Black,Tier 2,Bachelors,5.1,23.58,71.83,48.48,0
Male,White,,Masters,9.0,71.78,51.1,35.69,0
,White,Tier 3,Masters,2.9,40.25,64.57,6.6,0
